Contains Your Team	 Date	 Match #	 Match Type	 Team Number	 Spectating Team	 Starting Position	 SP-Autonomous	 SP-Off Platform	 SP-Cross Line	 SP-RocketHatchLow	 SP-RocketHatchMid	 SP-RocketHatchHigh	 SP-RocketHatchDropped	 SP-RocketCargoLow	 SP-RocketCargoMid	 SP-RocketCargoHigh	 SP-RocketCargoDropped	 SP-CargoShipHatches	 SP-CargoShipCargo	 CP-Defense	 CP-RocketHatchLow	 CP-RocketHatchMid	 CP-RocketHatchHigh	 CP-RocketHatchDropped	 CP-HatchFromLoadingZone	 CP-RocketCargoLow	 CP-RocketCargoMid	 CP-RocketCargoHigh	 CP-RocketCargoDropped	 CP-CargoFromLoadingZone	 CP-CargoShipHatches	 CP-CargoShipCargo	 EG-Ending Location	 EG-Climbing Help	 Penalties	 Yellow Card	 Red Card	 Red Score	 Blue Score	 Robot Dead Time	 Sandstorm Notes	 Clear Skies Notes
	2019/03/30 11:04:39	1	Qualification	3684	Blue	Middle	true	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1	false	0	0	0	0	false	0	3	No Climb	0	false	false	false	68	49	0		"fell over at the end, was rocking while it was moving around"
	2019/03/30 11:14:16	2	Qualification	4131	Blue	Low	true	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	2	0	0	0	false	0	4	Low	0	false	false	false	57	71	0		
	2019/03/30 11:28:39	3	Qualification	6959	Blue	Low	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	48	30	141.211		they died at the very beginning and stayed there for the whole game
	2019/03/30 11:40:08	4	Qualification	2927	Blue	Low	true	true	true	0	0	0	0	0	0	0	1	0	0	false	0	0	0	0	true	0	0	0	0	false	0	5	Low	0	false	false	false	43	33	0		
	2019/03/30 12:03:21	5	Qualification	948	Blue	Low	true	true	true	0	0	0	0	0	0	0	0	0	0	false	4	0	0	0	false	0	0	0	0	false	0	1	No Climb	0	false	false	false	53	34	0		they attached hatches but badly attached
*	2019/03/30 12:10:36	6	Qualification	492	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	1	1	0	false	2	0	0	0	false	1	1	High	0	false	false	false	57	37	0		
	2019/03/30 13:57:12	7	Qualification	2046	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	2	0	1	false	2	2	0	1	false	0	0	High	0	false	false	false	48	75	0		
	2019/03/30 12:23:22	8	Qualification	7118	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	0	0	0	0	false	0	4	Low	0	false	false	false	42	34	0		
	2019/03/30 12:30:02	9	Qualification	4918	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	0	0	0	2	false	0	0	0	0	false	0	0	High	0	false	false	false	74	39	0		
	2019/03/30 12:36:19	10	Qualification	2097	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	0	0	0	0	false	0	3	Low	0	false	false	false	27	34	0		
	2019/03/30 14:13:47	11	Qualification	3574	Blue	Middle	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	High	0	false	false	false	60	24	3.816		
	2019/03/30 14:04:28	12	Qualification	7110	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	false	0	4	Low	0	false	false	false	54	49	0		
	2019/03/30 14:13:37	13	Qualification	3786	Blue	Low	false	true	true	0	0	0	0	0	0	0	1	0	0	false	0	0	0	0	false	0	0	0	0	true	0	0	No Climb	0	false	false	false	39	50	162.886		
	2019/03/30 14:24:28	14	Qualification	5683	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	0	false	4	0	Low	0	false	false	false	35	33	0		
	2019/03/30 14:31:46	15	Qualification	4131	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	0	0	0	false	0	0	0	0	true	0	5	Low	0	false	false	false	58	50	0		
	2019/03/30 14:39:13	16	Qualification	4579	Blue	Middle	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	0	0	0	true	1	0	0	0	true	0	2	Low	0	false	false	false	68	72	0		
	2019/03/30 14:46:14	17	Qualification	3876	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	1	true	0	6	Low	0	false	false	false	49	84	0		
	2019/03/30 14:52:51	18	Qualification	3049	Blue	Low	false	true	true	0	0	0	1	0	0	0	0	0	0	false	0	0	0	3	false	0	0	0	0	false	2	0	High	0	false	false	false	63	45	0		high climb almost fell over
	2019/03/30 15:03:54	19	Qualification	6959	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	32	46	0		
	2019/03/30 15:08:48	20	Qualification	4131	Blue	High	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	32	26	0		"bot not in play, not on field "
	2019/03/30 15:20:09	21	Qualification	2980	Blue	Middle	false	true	false	0	0	0	0	0	0	0	0	0	0	false	1	0	0	3	false	0	0	0	2	false	1	1	No Climb	0	false	false	false	76	27	0		
	2019/03/30 15:25:42	22	Qualification	2046	Blue	Middle	false	true	false	1	0	0	0	0	0	0	0	0	0	false	1	2	2	0	false	2	2	2	0	false	0	0	High	0	false	false	false	37	83	0		they did the whole rocket by themselves
