a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2046,frc2910,79.76581904761906,17,11,1
frc492,frc2910,frc3218,79.5488571428573,17,1,25
frc492,frc2910,frc7034,79.36853333333345,17,1,19
frc492,frc2471,frc2910,79.27851666666692,17,3,1
frc492,frc2910,frc955,79.12708333333346,17,1,10
frc492,frc2910,frc2990,78.84992619047625,17,1,28
frc492,frc2910,frc4911,78.29358333333336,17,1,6
frc492,frc2811,frc2910,77.9730833333336,17,15,1
frc492,frc2910,frc7461,77.93716666666677,17,1,27
frc492,frc2910,frc4089,77.75150000000008,17,1,22
frc492,frc2046,frc4089,77.72245000000008,17,11,22
frc492,frc2910,frc2930,77.69426666666664,17,1,7
frc492,frc1540,frc2910,77.38535714285732,17,30,1
frc492,frc4089,frc4911,77.06278333333344,17,22,6
frc492,frc4089,frc7034,77.00966666666683,17,22,19
frc492,frc2910,frc5827,76.81661666666673,17,1,29
frc492,frc2046,frc2990,76.66945238095248,17,11,28
frc492,frc2910,frc957,76.6521666666668,17,1,14
frc492,frc2046,frc4911,76.59938095238108,17,11,6
frc492,frc2910,frc3636,76.44205952380956,17,1,32
frc492,frc2910,frc997,76.38608333333349,17,1,8
frc492,frc4089,frc955,76.28773333333349,17,22,10
frc492,frc2910,frc360,76.28408333333329,17,1,26
frc492,frc2471,frc4089,76.2629166666667,17,3,22
frc492,frc2910,frc4512,76.01525000000012,17,1,13
frc492,frc2471,frc4911,75.9257833333335,17,3,6
frc492,frc1294,frc2910,75.72583333333338,17,39,1
frc492,frc2990,frc7034,75.64147619047628,17,28,19
frc492,frc2557,frc2910,75.54916666666662,17,18,1
frc492,frc1425,frc2910,75.5483666666667,17,31,1
frc492,frc4911,frc955,75.41866666666682,17,6,10
frc492,frc4089,frc7461,75.29089999999994,17,22,27
frc492,frc2811,frc4911,74.92291666666677,17,15,6
frc492,frc2521,frc2910,74.85536666666671,17,16,1
frc492,frc2046,frc3636,74.83139285714296,17,11,32
frc492,frc2910,frc3663,74.632,17,1,24
frc492,frc2910,frc3674,74.63116666666681,17,1,12
frc492,frc2522,frc2910,74.60666666666671,17,23,1
frc492,frc4911,frc7034,74.56366666666683,17,6,19
frc492,frc2910,frc4915,74.55925000000006,17,1,42
frc492,frc2471,frc7034,74.48758333333349,17,3,19
frc492,frc2471,frc955,74.38416666666681,17,3,10
frc492,frc2046,frc2471,74.31140476190495,17,11,3
frc492,frc2910,frc3786,74.30775000000003,17,1,44
frc492,frc2990,frc4089,74.27791666666683,17,28,22
frc492,frc2046,frc7034,74.25496428571431,17,11,19
frc492,frc2910,frc2976,74.19666666666677,17,1,2
frc492,frc7034,frc955,74.18683333333334,17,19,10
frc492,frc2910,frc5920,74.13370000000006,17,1,43
frc492,frc2046,frc2557,74.07158333333341,17,11,18
frc492,frc2147,frc4089,74.05658333333326,17,4,22
frc492,frc2910,frc3711,74.01794047619049,17,1,21
frc492,frc2990,frc955,73.99344761904766,17,28,10
frc492,frc1425,frc2046,73.9424761904764,17,31,11
frc492,frc2471,frc7461,73.93650000000007,17,3,27
frc492,frc2557,frc4911,73.89166666666668,17,18,6
frc492,frc3636,frc4089,73.86025000000005,17,32,22
frc492,frc2046,frc955,73.83164285714295,17,11,10
frc492,frc2990,frc7461,73.79897619047615,17,28,27
frc492,frc2046,frc2811,73.76616666666673,17,11,15
frc492,frc2046,frc2930,73.73905952380963,17,11,7
frc492,frc2046,frc2521,73.69622619047624,17,11,16
frc492,frc360,frc7034,73.67556666666674,17,26,19
frc492,frc1540,frc2046,73.64404761904781,17,30,11
frc492,frc2811,frc4089,73.60356666666657,17,15,22
frc492,frc2046,frc3663,73.50000000000007,17,11,24
frc492,frc4911,frc7461,73.4368333333334,17,6,27
frc492,frc1899,frc2910,73.41975000000008,17,36,1
frc492,frc2046,frc2976,73.40508333333332,17,11,2
frc492,frc2910,frc4488,73.40416666666674,17,1,9
frc492,frc1899,frc2046,73.33684999999996,17,36,11
frc492,frc2046,frc3218,73.30546428571446,17,11,25
frc492,frc360,frc4911,73.27683333333337,17,26,6
frc492,frc2910,frc6350,73.2604166666667,17,1,20
frc492,frc2990,frc4911,73.24725952380945,17,28,6
frc492,frc2046,frc360,73.24575000000002,17,11,26
frc492,frc2046,frc7461,73.1517500000001,17,11,27
frc492,frc2910,frc488,73.1378404761904,17,1,34
frc492,frc2046,frc4512,73.07026666666673,17,11,13
frc492,frc2046,frc2522,73.02247619047624,17,11,23
frc492,frc2471,frc2990,73.02134523809531,17,3,28
frc492,frc7461,frc955,72.96058333333335,17,27,10
frc492,frc2147,frc2910,72.91458333333347,17,4,1
frc492,frc2976,frc4911,72.83433333333342,17,2,6
frc492,frc3218,frc4089,72.63475000000014,17,25,22
frc492,frc1425,frc4911,72.61453333333345,17,31,6
frc492,frc2046,frc5827,72.61140000000005,17,11,29
frc492,frc2046,frc2147,72.57654761904755,17,11,4
