a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc1595,frc488,45.47956666666662,17,5,34
frc492,frc2147,frc4131,45.247983333333345,17,4,33
frc492,frc1595,frc4131,45.24178333333331,17,5,33
frc492,frc2910,frc2930,45.239600000000024,17,1,7
frc492,frc2147,frc2928,45.14023333333334,17,4,40
frc492,frc2910,frc3218,45.13399999999998,17,1,25
frc492,frc3711,frc6350,45.03214999999994,17,21,20
frc492,frc2910,frc2928,45.00574999999996,17,1,40
frc492,frc2910,frc997,44.989250000000055,17,1,8
frc492,frc2147,frc488,44.9666833333333,17,4,34
frc492,frc1899,frc2147,44.7763833333333,17,36,4
frc492,frc2147,frc2910,44.751649999999934,17,4,1
frc492,frc2910,frc955,44.74638333333332,17,1,10
frc492,frc2976,frc4915,44.6966666666667,17,2,42
frc492,frc1595,frc2910,44.647316666666704,17,5,1
frc492,frc2910,frc7461,44.61164999999997,17,1,27
frc492,frc2910,frc957,44.55671666666662,17,1,14
frc492,frc1595,frc2147,44.475266666666705,17,5,4
frc492,frc2046,frc7034,44.40300000000002,17,11,19
frc492,frc4131,frc997,44.391566666666684,17,33,8
frc492,frc2046,frc3218,44.35599999999997,17,11,25
frc492,frc3218,frc7461,44.35283333333326,17,25,27
frc492,frc2910,frc3711,44.34891666666669,17,1,21
frc492,frc2910,frc4131,44.34040000000003,17,1,33
frc492,frc4131,frc957,44.29769999999996,17,33,14
frc492,frc1595,frc997,44.28695000000001,17,5,8
frc492,frc2976,frc4089,44.26400000000002,17,2,22
frc492,frc3218,frc6350,44.25533333333334,17,25,20
frc492,frc2910,frc2990,44.24933333333336,17,1,28
frc492,frc1899,frc2910,44.146366666666644,17,36,1
frc492,frc1595,frc3218,44.102633333333344,17,5,25
frc492,frc2910,frc7034,44.07933333333334,17,1,19
frc492,frc2147,frc3218,44.05741666666662,17,4,25
frc492,frc2990,frc6350,43.97796666666668,17,28,20
frc492,frc2046,frc2147,43.94468333333336,17,11,4
frc492,frc2928,frc997,43.935266666666664,17,40,8
frc492,frc2046,frc2910,43.93016666666667,17,11,1
frc492,frc2930,frc4131,43.90245000000002,17,7,33
frc492,frc2976,frc7034,43.818666666666665,17,2,19
frc492,frc2412,frc2910,43.807333333333304,17,45,1
frc492,frc2046,frc4131,43.7646833333334,17,11,33
frc492,frc2521,frc3711,43.75635000000001,17,16,21
frc492,frc4131,frc7461,43.75336666666665,17,33,27
frc492,frc2910,frc4512,43.71758333333333,17,1,13
frc492,frc2046,frc2930,43.68185000000002,17,11,7
frc492,frc3711,frc7461,43.669516666666624,17,21,27
frc492,frc2046,frc2928,43.6658166666667,17,11,40
frc492,frc2521,frc2910,43.665016666666645,17,16,1
frc492,frc1540,frc2910,43.65966666666663,17,30,1
frc492,frc6350,frc7034,43.65858333333331,17,20,19
frc492,frc2976,frc6350,43.6221666666667,17,2,20
frc492,frc4131,frc6350,43.594750000000005,17,33,20
frc492,frc2930,frc488,43.59026666666665,17,7,34
frc492,frc3218,frc955,43.566833333333335,17,25,10
frc492,frc2557,frc2976,43.54224999999996,17,18,2
frc492,frc4911,frc6350,43.536750000000026,17,6,20
frc492,frc2147,frc2990,43.52246666666667,17,4,28
frc492,frc1595,frc2046,43.5154333333333,17,5,11
frc492,frc2046,frc6350,43.514499999999984,17,11,20
frc492,frc2046,frc3711,43.512783333333374,17,11,21
frc492,frc2910,frc6350,43.50641666666662,17,1,20
frc492,frc2811,frc2910,43.506249999999994,17,15,1
frc492,frc2147,frc7461,43.487199999999994,17,4,27
frc492,frc488,frc6350,43.47863333333332,17,34,20
frc492,frc2147,frc3711,43.476083333333285,17,4,21
frc492,frc2976,frc3218,43.47516666666667,17,2,25
frc492,frc2046,frc2990,43.42583333333331,17,11,28
frc492,frc2928,frc7461,43.422216666666706,17,40,27
frc492,frc2635,frc2976,43.39758333333335,17,46,2
frc492,frc1595,frc2990,43.379950000000015,17,5,28
frc492,frc2910,frc4911,43.36883333333337,17,1,6
frc492,frc2910,frc3663,43.366833333333304,17,1,24
frc492,frc4131,frc4512,43.36434999999997,17,33,13
frc492,frc2471,frc2910,43.35049999999998,17,3,1
frc492,frc3218,frc7034,43.328666666666656,17,25,19
frc492,frc2910,frc360,43.30475,17,1,26
frc492,frc2147,frc3636,43.30203333333333,17,4,32
frc492,frc2046,frc2521,43.290233333333404,17,11,16
frc492,frc3663,frc488,43.28014999999994,17,24,34
frc492,frc955,frc997,43.260716666666646,17,10,8
frc492,frc3218,frc997,43.221333333333305,17,25,8
frc492,frc2976,frc6831,43.18825000000004,17,2,35
frc492,frc2910,frc488,43.155866666666675,17,1,34
frc492,frc2147,frc2521,43.154816666666676,17,4,16
frc492,frc2910,frc4125,43.110416666666694,17,1,38
frc492,frc2928,frc955,43.10533333333335,17,40,10
frc492,frc2147,frc6350,43.08166666666662,17,4,20
frc492,frc488,frc4911,43.07275000000005,17,34,6
frc492,frc2990,frc3218,43.02923333333327,17,28,25
frc492,frc2147,frc6831,43.019766666666655,17,4,35
frc492,frc2976,frc568,42.99966666666666,17,2,47
frc492,frc1595,frc568,42.99383333333329,17,5,47
frc492,frc7461,frc997,42.969150000000006,17,27,8
frc492,frc1595,frc3711,42.95533333333326,17,5,21
frc492,frc2910,frc4089,42.94666666666663,17,1,22
frc492,frc1540,frc2046,42.93525000000001,17,30,11
frc492,frc3711,frc4131,42.92656666666667,17,21,33
frc492,frc2811,frc2976,42.91141666666665,17,15,2
frc492,frc2147,frc8532,42.901449999999954,17,4,50
frc492,frc4089,frc6350,42.89075000000003,17,22,20
frc492,frc4911,frc955,42.88533333333334,17,6,10
frc492,frc2976,frc3711,42.88074999999998,17,2,21
frc492,frc1540,frc997,42.8638,17,30,8
frc492,frc3218,frc3711,42.84559999999991,17,25,21
frc492,frc2147,frc997,42.84261666666666,17,4,8
frc492,frc6350,frc7461,42.83299999999999,17,20,27
frc492,frc2046,frc2557,42.8238666666667,17,11,18
frc492,frc2471,frc3218,42.823250000000016,17,3,25
frc492,frc1595,frc6350,42.817033333333406,17,5,20
frc492,frc2046,frc2811,42.8030000000001,17,11,15
frc492,frc2928,frc2990,42.80249999999996,17,40,28
frc492,frc4131,frc7034,42.80204999999999,17,33,19
frc492,frc1899,frc2930,42.793783333333366,17,36,7
frc492,frc1359,frc2910,42.75918333333333,17,41,1
frc492,frc3218,frc4911,42.75500000000002,17,25,6
frc492,frc2522,frc2910,42.709833333333286,17,23,1
frc492,frc1425,frc2910,42.709416666666726,17,31,1
frc492,frc1540,frc2928,42.68378333333333,17,30,40
frc492,frc2910,frc4513,42.67491666666663,17,1,37
frc492,frc3218,frc4131,42.65608333333332,17,25,33
frc492,frc2147,frc2930,42.650883333333354,17,4,7
frc492,frc2147,frc2522,42.64918333333328,17,4,23
frc492,frc1540,frc6350,42.63766666666674,17,30,20
frc492,frc2928,frc2930,42.62731666666666,17,40,7
frc492,frc7034,frc997,42.62575000000001,17,19,8
frc492,frc2147,frc2635,42.617583333333314,17,4,46
frc492,frc2046,frc6831,42.6135,17,11,35
frc492,frc2976,frc5920,42.61208333333343,17,2,43
frc492,frc3711,frc955,42.60679999999999,17,21,10
frc492,frc1595,frc6831,42.60666666666669,17,5,35
frc492,frc2811,frc3218,42.60058333333339,17,15,25
frc492,frc1359,frc2147,42.59106666666663,17,41,4
frc492,frc2046,frc360,42.589666666666716,17,11,26
frc492,frc2990,frc7461,42.58446666666666,17,28,27
frc492,frc2930,frc3218,42.53463333333344,17,7,25
frc492,frc2930,frc4512,42.53191666666666,17,7,13
frc492,frc2990,frc997,42.51984999999996,17,28,8
frc492,frc2928,frc360,42.505833333333364,17,40,26
frc492,frc2910,frc3636,42.50566666666664,17,1,32
frc492,frc2928,frc3218,42.495783333333385,17,40,25
frc492,frc2930,frc7461,42.48341666666657,17,7,27
frc492,frc4131,frc568,42.46591666666665,17,33,47
frc492,frc3711,frc4512,42.46541666666668,17,21,13
frc492,frc6350,frc957,42.46321666666665,17,20,14
frc492,frc2930,frc6350,42.44828333333331,17,7,20
frc492,frc3674,frc3711,42.44716666666664,17,12,21
frc492,frc4089,frc4131,42.44475000000002,17,22,33
frc492,frc2147,frc4512,42.44163333333337,17,4,13
frc492,frc3711,frc4089,42.42183333333339,17,21,22
frc492,frc2046,frc2976,42.41575000000002,17,11,2
frc492,frc1595,frc2930,42.400100000000045,17,5,7
frc492,frc2928,frc4911,42.394333333333414,17,40,6
frc492,frc2928,frc3663,42.3935166666667,17,40,24
