team,score,pnw_rank
frc2910,3578.1421666666697,1
frc2046,3348.7313738095268,11
frc4911,3254.701483333337,6
frc4089,3233.8001166666686,22
frc7034,3150.8751595238114,19
frc2990,3116.0384452380954,28
frc955,3088.2930880952395,10
frc4488,3077.606557142858,9
frc2471,3063.0299095238124,3
frc2930,3031.8973666666666,7
frc2147,3030.960633333334,4
frc7461,3012.754733333333,27
frc3636,2936.074523809524,32
frc2976,2894.057833333334,2
frc1595,2833.2741904761915,5
frc2811,2788.454200000001,15
frc1425,2774.6408309523817,31
frc5827,2771.790833333335,29
frc3218,2769.2508952380963,25
frc4512,2753.7160880952374,13
frc360,2751.2895428571437,26
frc2557,2749.945164285714,18
frc3663,2703.0411261904765,24
frc1540,2680.800761904764,30
frc2521,2669.488071428572,16
frc2522,2655.561447619049,23
frc3674,2597.8527928571425,12
frc957,2591.0974000000006,14
frc488,2542.1778285714286,34
frc1899,2412.888719047619,36
frc997,2408.578952380953,8
frc6831,2379.1681999999996,35
frc4125,2373.7808190476185,38
frc3786,2330.3803333333335,44
frc4915,2303.773766666667,42
frc6350,2303.100319047619,20
frc5920,2287.5853714285718,43
frc4513,2237.1308095238105,37
frc3711,2228.6043238095244,21
frc1294,2189.205,39
frc4043,1822.2770952380954,48
frc4131,1756.9596095238098,33
frc2412,1729.4483380952381,45
frc8248,1650.2512071428573,49
frc1359,1647.9484952380953,41
frc2928,1605.335042857143,40
frc2635,1583.0480904761907,46
frc568,1398.9973690476193,47
frc8532,1255.600221428571,50
